Running in TSCNN mode
Writing logs to logs/CNN_bn_bs=32_lr=0.001_momentum=0.9_run_61
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
model: lmc, epoch: [0], step: [379/1581], batch loss: 1.78169, batch accuracy: 37.50, data load time: 0.00032, step time: 0.01889
model: mc, epoch: [0], step: [379/1581], batch loss: 1.94578, batch accuracy: 18.75, data load time: 0.00032, step time: 0.01889
model: lmc, epoch: [0], step: [389/1581], batch loss: 1.95685, batch accuracy: 25.00, data load time: 0.00032, step time: 0.01812
model: mc, epoch: [0], step: [389/1581], batch loss: 2.03082, batch accuracy: 12.50, data load time: 0.00032, step time: 0.01812
model: lmc, epoch: [0], step: [399/1581], batch loss: 1.87924, batch accuracy: 34.38, data load time: 0.00031, step time: 0.01808
model: mc, epoch: [0], step: [399/1581], batch loss: 2.05049, batch accuracy: 15.62, data load time: 0.00031, step time: 0.01808
model: lmc, epoch: [0], step: [409/1581], batch loss: 1.88081, batch accuracy: 37.50, data load time: 0.00030, step time: 0.01805
model: mc, epoch: [0], step: [409/1581], batch loss: 2.26710, batch accuracy: 6.25, data load time: 0.00030, step time: 0.01805
model: lmc, epoch: [0], step: [419/1581], batch loss: 1.81152, batch accuracy: 34.38, data load time: 0.00029, step time: 0.01804
model: mc, epoch: [0], step: [419/1581], batch loss: 1.96933, batch accuracy: 18.75, data load time: 0.00029, step time: 0.01804
model: lmc, epoch: [0], step: [429/1581], batch loss: 1.81879, batch accuracy: 37.50, data load time: 0.00036, step time: 0.02502
model: mc, epoch: [0], step: [429/1581], batch loss: 1.97038, batch accuracy: 18.75, data load time: 0.00036, step time: 0.02502
model: lmc, epoch: [0], step: [439/1581], batch loss: 1.87324, batch accuracy: 43.75, data load time: 0.00029, step time: 0.01809
model: mc, epoch: [0], step: [439/1581], batch loss: 2.15144, batch accuracy: 9.38, data load time: 0.00029, step time: 0.01809
model: lmc, epoch: [0], step: [449/1581], batch loss: 1.95291, batch accuracy: 28.12, data load time: 0.00032, step time: 0.02340
model: mc, epoch: [0], step: [449/1581], batch loss: 2.22544, batch accuracy: 6.25, data load time: 0.00032, step time: 0.02340
model: lmc, epoch: [0], step: [459/1581], batch loss: 1.76800, batch accuracy: 37.50, data load time: 0.00047, step time: 0.03164
model: mc, epoch: [0], step: [459/1581], batch loss: 2.11908, batch accuracy: 12.50, data load time: 0.00047, step time: 0.03164
model: lmc, epoch: [0], step: [469/1581], batch loss: 1.85129, batch accuracy: 37.50, data load time: 0.00032, step time: 0.02167
model: mc, epoch: [0], step: [469/1581], batch loss: 2.08135, batch accuracy: 12.50, data load time: 0.00032, step time: 0.02167
model: lmc, epoch: [0], step: [479/1581], batch loss: 1.88204, batch accuracy: 37.50, data load time: 0.00033, step time: 0.02189
model: mc, epoch: [0], step: [479/1581], batch loss: 2.17950, batch accuracy: 9.38, data load time: 0.00033, step time: 0.02189
model: lmc, epoch: [0], step: [489/1581], batch loss: 1.97778, batch accuracy: 21.88, data load time: 0.00046, step time: 0.02187
model: mc, epoch: [0], step: [489/1581], batch loss: 2.23835, batch accuracy: 6.25, data load time: 0.00046, step time: 0.02187
model: lmc, epoch: [0], step: [499/1581], batch loss: 1.92317, batch accuracy: 31.25, data load time: 0.00028, step time: 0.01998
model: mc, epoch: [0], step: [499/1581], batch loss: 2.16321, batch accuracy: 9.38, data load time: 0.00028, step time: 0.01998
model: lmc, epoch: [0], step: [509/1581], batch loss: 1.92228, batch accuracy: 34.38, data load time: 0.00739, step time: 0.02629
model: mc, epoch: [0], step: [509/1581], batch loss: 2.25094, batch accuracy: 6.25, data load time: 0.00739, step time: 0.02629
model: lmc, epoch: [0], step: [519/1581], batch loss: 1.92439, batch accuracy: 40.62, data load time: 0.00032, step time: 0.03795
model: mc, epoch: [0], step: [519/1581], batch loss: 2.21384, batch accuracy: 6.25, data load time: 0.00032, step time: 0.03795
model: lmc, epoch: [0], step: [529/1581], batch loss: 1.75907, batch accuracy: 40.62, data load time: 0.00035, step time: 0.01964
model: mc, epoch: [0], step: [529/1581], batch loss: 2.03418, batch accuracy: 15.62, data load time: 0.00035, step time: 0.01964
model: lmc, epoch: [0], step: [539/1581], batch loss: 2.33736, batch accuracy: 9.38, data load time: 0.00432, step time: 0.02111
model: mc, epoch: [0], step: [539/1581], batch loss: 2.46115, batch accuracy: 0.00, data load time: 0.00432, step time: 0.02111
model: lmc, epoch: [0], step: [549/1581], batch loss: 1.75812, batch accuracy: 43.75, data load time: 0.00028, step time: 0.01995
model: mc, epoch: [0], step: [549/1581], batch loss: 2.01986, batch accuracy: 15.62, data load time: 0.00028, step time: 0.01995
model: lmc, epoch: [0], step: [559/1581], batch loss: 2.00252, batch accuracy: 34.38, data load time: 0.00028, step time: 0.01813
model: mc, epoch: [0], step: [559/1581], batch loss: 2.32459, batch accuracy: 3.12, data load time: 0.00028, step time: 0.01813
model: lmc, epoch: [0], step: [569/1581], batch loss: 1.89405, batch accuracy: 34.38, data load time: 0.00030, step time: 0.01803
model: mc, epoch: [0], step: [569/1581], batch loss: 2.09471, batch accuracy: 12.50, data load time: 0.00030, step time: 0.01803
model: lmc, epoch: [0], step: [579/1581], batch loss: 1.91938, batch accuracy: 31.25, data load time: 0.00028, step time: 0.01807
model: mc, epoch: [0], step: [579/1581], batch loss: 2.34925, batch accuracy: 3.12, data load time: 0.00028, step time: 0.01807
model: lmc, epoch: [0], step: [589/1581], batch loss: 2.20418, batch accuracy: 15.62, data load time: 0.00435, step time: 0.02004
model: mc, epoch: [0], step: [589/1581], batch loss: 2.31361, batch accuracy: 3.12, data load time: 0.00435, step time: 0.02004
model: lmc, epoch: [0], step: [599/1581], batch loss: 1.92980, batch accuracy: 34.38, data load time: 0.00479, step time: 0.01961
model: mc, epoch: [0], step: [599/1581], batch loss: 2.34971, batch accuracy: 3.12, data load time: 0.00479, step time: 0.01961
model: lmc, epoch: [0], step: [609/1581], batch loss: 1.93035, batch accuracy: 34.38, data load time: 0.00032, step time: 0.01809
model: mc, epoch: [0], step: [609/1581], batch loss: 2.21138, batch accuracy: 6.25, data load time: 0.00032, step time: 0.01809
model: lmc, epoch: [0], step: [619/1581], batch loss: 2.11243, batch accuracy: 18.75, data load time: 0.00032, step time: 0.01806
model: mc, epoch: [0], step: [619/1581], batch loss: 2.46114, batch accuracy: 0.00, data load time: 0.00032, step time: 0.01806
model: lmc, epoch: [0], step: [629/1581], batch loss: 1.94174, batch accuracy: 31.25, data load time: 0.00029, step time: 0.01829
model: mc, epoch: [0], step: [629/1581], batch loss: 2.12591, batch accuracy: 9.38, data load time: 0.00029, step time: 0.01829
model: lmc, epoch: [0], step: [639/1581], batch loss: 1.84078, batch accuracy: 37.50, data load time: 0.00030, step time: 0.01797
model: mc, epoch: [0], step: [639/1581], batch loss: 2.17525, batch accuracy: 9.38, data load time: 0.00030, step time: 0.01797
model: lmc, epoch: [0], step: [649/1581], batch loss: 1.97644, batch accuracy: 25.00, data load time: 0.00032, step time: 0.01894
model: mc, epoch: [0], step: [649/1581], batch loss: 2.22530, batch accuracy: 6.25, data load time: 0.00032, step time: 0.01894
model: lmc, epoch: [0], step: [659/1581], batch loss: 1.89526, batch accuracy: 37.50, data load time: 0.00031, step time: 0.02672
model: mc, epoch: [0], step: [659/1581], batch loss: 2.24548, batch accuracy: 6.25, data load time: 0.00031, step time: 0.02672
model: lmc, epoch: [0], step: [669/1581], batch loss: 1.95847, batch accuracy: 25.00, data load time: 0.00031, step time: 0.03117
model: mc, epoch: [0], step: [669/1581], batch loss: 2.14016, batch accuracy: 9.38, data load time: 0.00031, step time: 0.03117
model: lmc, epoch: [0], step: [679/1581], batch loss: 2.00665, batch accuracy: 25.00, data load time: 0.00032, step time: 0.01814
model: mc, epoch: [0], step: [679/1581], batch loss: 2.21231, batch accuracy: 6.25, data load time: 0.00032, step time: 0.01814
model: lmc, epoch: [0], step: [689/1581], batch loss: 1.97907, batch accuracy: 28.12, data load time: 0.00037, step time: 0.03494
model: mc, epoch: [0], step: [689/1581], batch loss: 2.10809, batch accuracy: 15.62, data load time: 0.00037, step time: 0.03494
model: lmc, epoch: [0], step: [699/1581], batch loss: 2.09374, batch accuracy: 15.62, data load time: 0.00029, step time: 0.02783
model: mc, epoch: [0], step: [699/1581], batch loss: 2.22663, batch accuracy: 6.25, data load time: 0.00029, step time: 0.02783
model: lmc, epoch: [0], step: [709/1581], batch loss: 1.85938, batch accuracy: 34.38, data load time: 0.00793, step time: 0.01934
model: mc, epoch: [0], step: [709/1581], batch loss: 2.08032, batch accuracy: 12.50, data load time: 0.00793, step time: 0.01934
model: lmc, epoch: [0], step: [719/1581], batch loss: 1.86485, batch accuracy: 28.12, data load time: 0.00037, step time: 0.01820
model: mc, epoch: [0], step: [719/1581], batch loss: 2.08096, batch accuracy: 12.50, data load time: 0.00037, step time: 0.01820
model: lmc, epoch: [0], step: [729/1581], batch loss: 1.90790, batch accuracy: 34.38, data load time: 0.00032, step time: 0.01840
model: mc, epoch: [0], step: [729/1581], batch loss: 2.24143, batch accuracy: 6.25, data load time: 0.00032, step time: 0.01840
model: lmc, epoch: [0], step: [739/1581], batch loss: 1.84542, batch accuracy: 37.50, data load time: 0.00032, step time: 0.01954
model: mc, epoch: [0], step: [739/1581], batch loss: 2.05060, batch accuracy: 12.50, data load time: 0.00032, step time: 0.01954
model: lmc, epoch: [0], step: [749/1581], batch loss: 2.02205, batch accuracy: 21.88, data load time: 0.00028, step time: 0.02716
model: mc, epoch: [0], step: [749/1581], batch loss: 2.34391, batch accuracy: 3.12, data load time: 0.00028, step time: 0.02716
model: lmc, epoch: [0], step: [759/1581], batch loss: 1.81612, batch accuracy: 37.50, data load time: 0.00030, step time: 0.01982
model: mc, epoch: [0], step: [759/1581], batch loss: 2.02662, batch accuracy: 15.62, data load time: 0.00030, step time: 0.01982
model: lmc, epoch: [0], step: [769/1581], batch loss: 1.79361, batch accuracy: 46.88, data load time: 0.00610, step time: 0.01944
model: mc, epoch: [0], step: [769/1581], batch loss: 2.04189, batch accuracy: 12.50, data load time: 0.00610, step time: 0.01944
model: lmc, epoch: [0], step: [779/1581], batch loss: 1.91004, batch accuracy: 31.25, data load time: 0.00031, step time: 0.01818
model: mc, epoch: [0], step: [779/1581], batch loss: 2.24963, batch accuracy: 6.25, data load time: 0.00031, step time: 0.01818
model: lmc, epoch: [0], step: [789/1581], batch loss: 1.88107, batch accuracy: 34.38, data load time: 0.00028, step time: 0.01973
model: mc, epoch: [0], step: [789/1581], batch loss: 2.04802, batch accuracy: 12.50, data load time: 0.00028, step time: 0.01973
model: lmc, epoch: [0], step: [799/1581], batch loss: 1.74182, batch accuracy: 53.12, data load time: 0.00029, step time: 0.01812
model: mc, epoch: [0], step: [799/1581], batch loss: 1.98528, batch accuracy: 18.75, data load time: 0.00029, step time: 0.01812
model: lmc, epoch: [0], step: [809/1581], batch loss: 1.76858, batch accuracy: 40.62, data load time: 0.00028, step time: 0.01809
model: mc, epoch: [0], step: [809/1581], batch loss: 1.93207, batch accuracy: 18.75, data load time: 0.00028, step time: 0.01809
model: lmc, epoch: [0], step: [819/1581], batch loss: 1.75018, batch accuracy: 46.88, data load time: 0.00029, step time: 0.01814
model: mc, epoch: [0], step: [819/1581], batch loss: 1.98297, batch accuracy: 15.62, data load time: 0.00029, step time: 0.01814
model: lmc, epoch: [0], step: [829/1581], batch loss: 1.84899, batch accuracy: 46.88, data load time: 0.00029, step time: 0.01816
model: mc, epoch: [0], step: [829/1581], batch loss: 2.12219, batch accuracy: 9.38, data load time: 0.00029, step time: 0.01816
model: lmc, epoch: [0], step: [839/1581], batch loss: 2.00602, batch accuracy: 25.00, data load time: 0.00028, step time: 0.01808
model: mc, epoch: [0], step: [839/1581], batch loss: 2.33105, batch accuracy: 3.12, data load time: 0.00028, step time: 0.01808
model: lmc, epoch: [0], step: [849/1581], batch loss: 1.79137, batch accuracy: 56.25, data load time: 0.00031, step time: 0.01818
model: mc, epoch: [0], step: [849/1581], batch loss: 2.07908, batch accuracy: 12.50, data load time: 0.00031, step time: 0.01818
model: lmc, epoch: [0], step: [859/1581], batch loss: 1.83945, batch accuracy: 43.75, data load time: 0.00028, step time: 0.01808
model: mc, epoch: [0], step: [859/1581], batch loss: 2.24595, batch accuracy: 6.25, data load time: 0.00028, step time: 0.01808
model: lmc, epoch: [0], step: [869/1581], batch loss: 1.85101, batch accuracy: 40.62, data load time: 0.00028, step time: 0.02079
model: mc, epoch: [0], step: [869/1581], batch loss: 2.08376, batch accuracy: 12.50, data load time: 0.00028, step time: 0.02079
model: lmc, epoch: [0], step: [879/1581], batch loss: 1.75951, batch accuracy: 50.00, data load time: 0.00029, step time: 0.01803
model: mc, epoch: [0], step: [879/1581], batch loss: 1.98947, batch accuracy: 15.62, data load time: 0.00029, step time: 0.01803
model: lmc, epoch: [0], step: [889/1581], batch loss: 1.80974, batch accuracy: 46.88, data load time: 0.00028, step time: 0.01824
model: mc, epoch: [0], step: [889/1581], batch loss: 2.15348, batch accuracy: 9.38, data load time: 0.00028, step time: 0.01824
model: lmc, epoch: [0], step: [899/1581], batch loss: 1.84305, batch accuracy: 50.00, data load time: 0.00030, step time: 0.01814
model: mc, epoch: [0], step: [899/1581], batch loss: 2.12146, batch accuracy: 9.38, data load time: 0.00030, step time: 0.01814
model: lmc, epoch: [0], step: [909/1581], batch loss: 1.92327, batch accuracy: 31.25, data load time: 0.00028, step time: 0.01817
model: mc, epoch: [0], step: [909/1581], batch loss: 1.96675, batch accuracy: 15.62, data load time: 0.00028, step time: 0.01817
model: lmc, epoch: [0], step: [919/1581], batch loss: 1.85397, batch accuracy: 53.12, data load time: 0.00029, step time: 0.01808
model: mc, epoch: [0], step: [919/1581], batch loss: 1.90824, batch accuracy: 18.75, data load time: 0.00029, step time: 0.01808
model: lmc, epoch: [0], step: [929/1581], batch loss: 1.91090, batch accuracy: 37.50, data load time: 0.00031, step time: 0.01809
model: mc, epoch: [0], step: [929/1581], batch loss: 2.34835, batch accuracy: 3.12, data load time: 0.00031, step time: 0.01809
model: lmc, epoch: [0], step: [939/1581], batch loss: 1.78045, batch accuracy: 56.25, data load time: 0.00442, step time: 0.01878
model: mc, epoch: [0], step: [939/1581], batch loss: 2.08082, batch accuracy: 12.50, data load time: 0.00442, step time: 0.01878
model: lmc, epoch: [0], step: [949/1581], batch loss: 1.85653, batch accuracy: 40.62, data load time: 0.00855, step time: 0.01819
model: mc, epoch: [0], step: [949/1581], batch loss: 2.25658, batch accuracy: 6.25, data load time: 0.00855, step time: 0.01819
model: lmc, epoch: [0], step: [959/1581], batch loss: 1.87006, batch accuracy: 50.00, data load time: 0.00030, step time: 0.01811
model: mc, epoch: [0], step: [959/1581], batch loss: 2.32343, batch accuracy: 3.12, data load time: 0.00030, step time: 0.01811
model: lmc, epoch: [0], step: [969/1581], batch loss: 1.90880, batch accuracy: 37.50, data load time: 0.00029, step time: 0.01827
model: mc, epoch: [0], step: [969/1581], batch loss: 1.96763, batch accuracy: 18.75, data load time: 0.00029, step time: 0.01827
model: lmc, epoch: [0], step: [979/1581], batch loss: 1.65520, batch accuracy: 71.88, data load time: 0.00830, step time: 0.01934
model: mc, epoch: [0], step: [979/1581], batch loss: 2.09775, batch accuracy: 12.50, data load time: 0.00830, step time: 0.01934
model: lmc, epoch: [0], step: [989/1581], batch loss: 1.86308, batch accuracy: 46.88, data load time: 0.00032, step time: 0.01803
model: mc, epoch: [0], step: [989/1581], batch loss: 2.16465, batch accuracy: 9.38, data load time: 0.00032, step time: 0.01803
model: lmc, epoch: [0], step: [999/1581], batch loss: 1.85400, batch accuracy: 43.75, data load time: 0.00028, step time: 0.01805
model: mc, epoch: [0], step: [999/1581], batch loss: 2.13691, batch accuracy: 9.38, data load time: 0.00028, step time: 0.01805
model: lmc, epoch: [0], step: [1009/1581], batch loss: 1.72784, batch accuracy: 53.12, data load time: 0.00029, step time: 0.02552
model: mc, epoch: [0], step: [1009/1581], batch loss: 2.16429, batch accuracy: 9.38, data load time: 0.00029, step time: 0.02552
model: lmc, epoch: [0], step: [1019/1581], batch loss: 1.81102, batch accuracy: 40.62, data load time: 0.00028, step time: 0.01800
model: mc, epoch: [0], step: [1019/1581], batch loss: 2.06810, batch accuracy: 12.50, data load time: 0.00028, step time: 0.01800
model: lmc, epoch: [0], step: [1029/1581], batch loss: 1.92178, batch accuracy: 37.50, data load time: 0.00028, step time: 0.01822
model: mc, epoch: [0], step: [1029/1581], batch loss: 2.10992, batch accuracy: 9.38, data load time: 0.00028, step time: 0.01822
model: lmc, epoch: [0], step: [1039/1581], batch loss: 1.83929, batch accuracy: 37.50, data load time: 0.00029, step time: 0.01802
model: mc, epoch: [0], step: [1039/1581], batch loss: 2.23612, batch accuracy: 6.25, data load time: 0.00029, step time: 0.01802
model: lmc, epoch: [0], step: [1049/1581], batch loss: 2.01084, batch accuracy: 43.75, data load time: 0.00028, step time: 0.01831
model: mc, epoch: [0], step: [1049/1581], batch loss: 2.46115, batch accuracy: 0.00, data load time: 0.00028, step time: 0.01831
